y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.01378602149571917,71.49288954871948,0.8569356832862725,-0.2407052173342323,0.005837334432208421,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0141308162211855,73.28095953195577,0.8473571202161367,-0.2417541514198262,0.005806043882744132,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01447952698910282,75.08933770856771,0.8378089109462252,-0.2426882645952433,0.005784165282139857,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01483215241433178,76.91801689536518,0.8283218018691614,-0.2435095860522075,0.005773571496240343,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01518869109618326,78.76698982851846,0.8189236363635088,-0.244220905561863,0.005776165792476986,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01554914161842413,80.63624916358819,0.8096374705712664,-0.2448262289972116,0.005792383238558064,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01591350254928292,82.52578747555475,0.8004826090646804,-0.2453304795135198,0.005819551238557896,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0162817724414549,84.43559725884471,0.7914761870472304,-0.2457389086982498,0.005852038566720895,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01665394983210877,86.36567092736541,0.7826322587162815,-0.2460564884715444,0.005881970665446872,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01703003324289154,88.31600081453026,0.7739620093115214,-0.2462875783465691,0.005901796074903091,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01741002117993529,90.28657917329387,0.7654748490885207,-0.246436012020215,0.005906622022503468,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01779391213386217,92.27739817617802,0.7571784525216518,-0.2465050956137025,0.005895209739119638,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01818170457979107,94.28844991530607,0.7490790690643564,-0.2464977599334868,0.005868825224489255,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01857339697734361,96.3197264024342,0.7411833028445945,-0.2464169548029324,0.005829903407006148,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01896898777065015,98.3712195689824,0.7334986160368117,-0.2462663175857534,0.005783637841348058,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01936847538835551,100.4429212660644,0.7260277705460798,-0.2460499840946239,0.00573705644363503,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01977185824362626,102.5348232645252,0.718767763830764,-0.2457723588052556,0.005694392354208163,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02017913473415589,104.6469172549681,0.7117153913256742,-0.245438053984888,0.005655861136861001,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02059030324217204,106.779194847792,0.7048700881420182,-0.2450516966914923,0.00561791927705829,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02100536213444248,108.9316475732225,0.6982310585961896,-0.2446175150261647,0.005574120754357402,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02142430976228171,111.1042668813462,0.6917947066794059,-0.2441392441869272,0.005519039731453148,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02184714446155744,113.2970441421443,0.6855553296756348,-0.2436201709778623,0.005453653223328408,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02227386455269731,115.5099706455271,0.6795082554257518,-0.2430629600377827,0.005384839018479602,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02270446834069551,117.7430376013689,0.6736529500254836,-0.2424698365661418,0.005320345236380457,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02313895411511957,119.9962361395429,0.6679934571624077,-0.2418431418163447,0.005265154010009121,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02357732015011704,122.2695573099557,0.662534067043766,-0.241185844905305,0.005221770417700098,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02401956470442235,124.5629920825831,0.657274282229518,-0.2405016601584053,0.005190710662809833,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.0244656860213639,126.876531347507,0.6522084285918809,-0.2397946937892313,0.005171733940036291,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.02491568232887087,129.2101659149504,0.64732800703849,-0.2390688699812098,0.005165606700389964,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
