y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.2892775139395317,26.87750763125906,0.6794716724206742,-0.1192219096108964,-0.001269512849770664,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3077298926752047,28.59196494779491,0.689849296663401,-0.1151927597695634,-0.001254609880422625,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.326648909501897,30.34977879308962,0.6955102526040766,-0.1115576633624486,-0.001248204315532008,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3460218116894204,32.14976427863149,0.696657642029744,-0.1082601711280196,-0.001244276991559143,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3658355405573572,33.99070808929695,0.6935479326261295,-0.1052331335546203,-0.001242897624902741,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.3860767402775169,35.87136930120902,0.6864779092980259,-0.1024038742165608,-0.001249739446382112,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4067317668766912,37.79048021820623,0.6757729399355098,-0.09969796094753992,-0.001264606280106367,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4277866974336383,39.74674722635767,0.6617756317499336,-0.09704411242960025,-0.001281905252241924,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4492273394640984,41.73885166594866,0.6448306150694982,-0.094379400526558,-0.001298055148350327,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4710392404875134,43.76545072034889,0.6252772954832095,-0.09165263627829372,-0.001312419193446252,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.4932076977690006,45.82517832116393,0.603453892349848,-0.08882576758567505,-0.001324562450652356,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5157177682300171,47.91664606906022,0.5796875803509393,-0.08587262302273367,-0.001331303556032883,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5385542785210315,50.03844416964252,0.5542872915169749,-0.08277592773931994,-0.001328790982403173,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5617018352494142,52.18914238375312,0.527536236957822,-0.07952486506403285,-0.001320025141575319,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.5851448353556523,54.36729099155238,0.4996824364532498,-0.07611335071928503,-0.001306231172453704,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6088674766308949,56.57142176973044,0.4709444441197008,-0.07253728529675514,-0.001279082413394789,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.6328537683687377,58.8000489811916,0.4415145596824467,-0.06879266235909792,-0.001227460491873901,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
