nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        83, 0.000000000E+00,-7.997752428E-01, 0.000000000E+00, 2.792081237E-01, 7.486486435E-01, 6.730667315E-03, 1.788192429E-03, 3.922002390E-03,-1.703397371E-03, 0.000000000E+00, 7.645889521E-01
        84, 0.000000000E+00,-7.971225977E-01, 0.000000000E+00, 2.807229459E-01, 7.506641150E-01, 6.704456173E-03, 1.784260035E-03, 3.906598315E-03,-1.697928412E-03, 0.000000000E+00, 7.549865842E-01
        85, 0.000000000E+00,-7.944699526E-01, 0.000000000E+00, 2.822229564E-01, 7.526544333E-01, 6.678311154E-03, 1.780303195E-03, 3.891245928E-03,-1.692453399E-03, 0.000000000E+00, 7.456387281E-01
        86, 0.000000000E+00,-7.918173075E-01, 0.000000000E+00, 2.837083936E-01, 7.546201944E-01, 6.652231328E-03, 1.776322257E-03, 3.875943832E-03,-1.686972333E-03, 0.000000000E+00, 7.364576459E-01
        87, 0.000000000E+00,-7.891646624E-01, 0.000000000E+00, 2.851794958E-01, 7.565618753E-01, 6.626217626E-03, 1.772318501E-03, 3.860692959E-03,-1.681485795E-03, 0.000000000E+00, 7.274521589E-01
        88, 0.000000000E+00,-7.865120173E-01, 0.000000000E+00, 2.866364419E-01, 7.584799528E-01, 6.600269582E-03, 1.768292277E-03, 3.845492378E-03,-1.675993903E-03, 0.000000000E+00, 7.186986208E-01
        89, 0.000000000E+00,-7.838593125E-01, 0.000000000E+00, 2.880796194E-01, 7.603750229E-01, 6.574385799E-03, 1.764243934E-03, 3.830341157E-03,-1.670496888E-03, 0.000000000E+00, 7.101320624E-01
        90, 0.000000000E+00,-7.812066674E-01, 0.000000000E+00, 2.895093560E-01, 7.622476220E-01, 6.548567675E-03, 1.760174171E-03, 3.815239295E-03,-1.664994983E-03, 0.000000000E+00, 7.017524242E-01
        91, 0.000000000E+00,-7.785540223E-01, 0.000000000E+00, 2.909258008E-01, 7.640982866E-01, 6.522815675E-03, 1.756083686E-03, 3.800187260E-03,-1.659488771E-03, 0.000000000E+00, 6.935719252E-01
        92, 0.000000000E+00,-7.759013772E-01, 0.000000000E+00, 2.923293412E-01, 7.659275532E-01, 6.497128867E-03, 1.751973410E-03, 3.785185050E-03,-1.653978485E-03, 0.000000000E+00, 6.856021285E-01
        93, 0.000000000E+00,-7.732487321E-01, 0.000000000E+00, 2.937201560E-01, 7.677358985E-01, 6.471506320E-03, 1.747843344E-03, 3.770231735E-03,-1.648464240E-03, 0.000000000E+00, 6.778166294E-01
        94, 0.000000000E+00,-7.705960870E-01,-6.938893904E-18, 2.950985432E-01, 7.695237398E-01, 6.445948966E-03, 1.743694418E-03, 3.755327780E-03,-1.642946154E-03, 0.000000000E+00, 6.701954603E-01
        95, 0.000000000E+00,-7.679433823E-01, 0.000000000E+00, 2.964646816E-01, 7.712916136E-01, 6.420454942E-03, 1.739527099E-03, 3.740472719E-03,-1.637424459E-03, 0.000000000E+00, 6.627435684E-01
