nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        99, 0.000000000E+00,-8.815804124E-01, 0.000000000E+00, 2.658428252E-01, 7.305023670E-01, 6.419600919E-03, 1.615319867E-03, 3.756313119E-03,-1.585439080E-03, 0.000000000E+00, 1.161290169E+00
       100, 0.000000000E+00,-8.802636266E-01, 0.000000000E+00, 2.669565380E-01, 7.320234776E-01, 6.407201290E-03, 1.613960601E-03, 3.748774529E-03,-1.583172707E-03, 0.000000000E+00, 1.149125099E+00
       101, 0.000000000E+00,-8.789468408E-01, 0.000000000E+00, 2.680610120E-01, 7.335288525E-01, 6.394826807E-03, 1.612591790E-03, 3.741255030E-03,-1.580904238E-03, 0.000000000E+00, 1.137313962E+00
       102, 0.000000000E+00,-8.776300550E-01, 0.000000000E+00, 2.691563368E-01, 7.350187302E-01, 6.382477470E-03, 1.611213316E-03, 3.733754158E-03,-1.578633441E-03, 0.000000000E+00, 1.125643969E+00
       103, 0.000000000E+00,-8.763132691E-01,-6.938893904E-18, 2.702427506E-01, 7.364934683E-01, 6.370154675E-03, 1.609826111E-03, 3.726273309E-03,-1.576360897E-03, 0.000000000E+00, 1.114229679E+00
       104, 0.000000000E+00,-8.749965429E-01, 3.469446952E-18, 2.713204026E-01, 7.379533052E-01, 6.357856095E-03, 1.608429709E-03, 3.718810622E-03,-1.574086025E-03, 0.000000000E+00, 1.103107691E+00
       105, 0.000000000E+00,-8.736797571E-01, 0.000000000E+00, 2.723894417E-01, 7.393987179E-01, 6.345583592E-03, 1.607024926E-03, 3.711367026E-03,-1.571809407E-03, 0.000000000E+00, 1.092207432E+00
       106, 0.000000000E+00,-8.723629713E-01, 0.000000000E+00, 2.734500766E-01, 7.408298850E-01, 6.333335303E-03, 1.605611527E-03, 3.703942522E-03,-1.569531159E-03, 0.000000000E+00, 1.081527710E+00
       107, 0.000000000E+00,-8.710461855E-01, 0.000000000E+00, 2.745023966E-01, 7.422471046E-01, 6.321111228E-03, 1.604189398E-03, 3.696536180E-03,-1.567250583E-03, 0.000000000E+00, 1.070989370E+00
       108, 0.000000000E+00,-8.697293997E-01, 0.000000000E+00, 2.755464911E-01, 7.436504364E-01, 6.308910437E-03, 1.602758421E-03, 3.689147532E-03,-1.564967912E-03, 0.000000000E+00, 1.060600281E+00
       109, 0.000000000E+00,-8.684126735E-01, 0.000000000E+00, 2.765824795E-01, 7.450404167E-01, 6.296733394E-03, 1.601319527E-03, 3.681777976E-03,-1.562683610E-03, 0.000000000E+00, 1.050503731E+00
       110, 0.000000000E+00,-8.670958877E-01,-3.469446952E-18, 2.776106298E-01, 7.464171648E-01, 6.284581963E-03, 1.599872718E-03, 3.674426815E-03,-1.560397795E-03, 0.000000000E+00, 1.040629387E+00
       111, 0.000000000E+00,-8.657791018E-01, 0.000000000E+00, 2.786310315E-01, 7.477809787E-01, 6.272454746E-03, 1.598418225E-03, 3.667094279E-03,-1.558110467E-03, 0.000000000E+00, 1.030851364E+00
       112, 0.000000000E+00,-8.644623160E-01, 0.000000000E+00, 2.796437442E-01, 7.491320968E-01, 6.260352209E-03, 1.596956281E-03, 3.659780603E-03,-1.555821858E-03, 0.000000000E+00, 1.021338701E+00
       113, 0.000000000E+00,-8.631455302E-01, 0.000000000E+00, 2.806489468E-01, 7.504708767E-01, 6.248273421E-03, 1.595486887E-03, 3.652484622E-03,-1.553531387E-03, 0.000000000E+00, 1.011992455E+00
       114, 0.000000000E+00,-8.618288040E-01, 0.000000000E+00, 2.816467881E-01, 7.517973185E-01, 6.236217916E-03, 1.594009809E-03, 3.645206336E-03,-1.551239402E-03, 0.000000000E+00, 1.002762318E+00
       115, 0.000000000E+00,-8.605120182E-01,-6.938893904E-18, 2.826373577E-01, 7.531118393E-01, 6.224184297E-03, 1.592525048E-03, 3.637945047E-03,-1.548945904E-03, 0.000000000E+00, 9.937548637E-01
       116, 0.000000000E+00,-8.591952324E-01,-6.938893904E-18, 2.836208344E-01, 7.544145584E-01, 6.212174892E-03, 1.591033069E-03, 3.630701452E-03,-1.546651125E-03, 0.000000000E+00, 9.849493504E-01
       117, 0.000000000E+00,-8.578784466E-01,-6.938893904E-18, 2.845972776E-01, 7.557058334E-01, 6.200189702E-03, 1.589534222E-03, 3.623476252E-03,-1.544355415E-03, 0.000000000E+00, 9.762676358E-01
       118, 1.301042607E-18,-8.565616608E-01, 0.000000000E+00, 2.855668068E-01, 7.569856644E-01, 6.188227795E-03, 1.588028739E-03, 3.616268514E-03,-1.542058657E-03, 0.000000000E+00, 9.676638842E-01
       119, 0.000000000E+00,-8.552449346E-01, 0.000000000E+00, 2.865294814E-01, 7.582542896E-01, 6.176288705E-03, 1.586516155E-03, 3.609077539E-03,-1.539760269E-03, 0.000000000E+00, 9.592472315E-01
